"Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK"
"33,Lorenzo Venturino,it ITA,FW,Genoa,19-281,2006,2,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"34,Lorenzo Venturino,it ITA,MF,Roma,19-281,2006,7,1,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"35,Danilo Veiga,pt POR,DF,Lecce,23-186,2002,28,25,""2,351"",26.1,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04"
"36,Matías Vecino,uy URU,MF,Lazio,34-218,1991,13,5,603,6.7,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15"
"37,Franco Vázquez,ar ARG,""FW,MF"",Cremonese,37-036,1989,15,4,524,5.8,1,1,2,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34"
"38,Robinio Vaz,fr FRA,FW,Roma,19-041,2007,7,0,138,1.5,1,0,1,1,0,0,0,0,0.65,0.00,0.65,0.65,0.65"
"39,Johan Vásquez,mx MEX,DF,Genoa,27-159,1998,30,30,""2,675"",29.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00"
"40,Jamie Vardy,eng ENG,FW,Cremonese,39-078,1987,25,21,""1,827"",20.3,5,2,7,5,0,0,4,0,0.25,0.10,0.34,0.25,0.34"
"41,Jari Vandeputte,be BEL,MF,Cremonese,30-044,1996,25,19,""1,573"",17.5,1,4,5,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29"
"42,Ignace Van Der Brempt,be BEL,""DF,MF"",Como,23-363,2002,14,9,755,8.4,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12"
"43,Álex Valle,es ESP,DF,Como,21-339,2004,23,18,""1,653"",18.4,0,4,4,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22"
"44,Emanuele Valeri,it ITA,""MF,DF"",Parma,27-113,1998,26,22,""2,031"",22.6,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09"
"45,Nicolás Valentini,ar ARG,DF,Hellas Verona,24-358,2001,15,11,""1,019"",11.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00"
"46,Lautaro Valenti,ar ARG,DF,Parma,27-075,1999,22,20,""1,832"",20.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00"
"47,Stefano Turati,it ITA,GK,Sassuolo,24-206,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"48,Kostas Tsimikas,gr GRE,MF,Roma,29-322,1996,16,6,598,6.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00"
