2026-04-03 22:37:01,664 [INFO] RPA: Avvio sessione per la lega 'serie_a'
2026-04-03 22:38:26,768 [INFO]   [PW] Fine: competizioni=5 stats=330 heatmap=1048 attributi=0 partite=30 trasferimenti=18
2026-04-03 22:38:27,127 [INFO]   [MAP] Saudi Pro League 24/25: 105 stats, 615 heatmap pts
2026-04-03 22:38:27,128 [INFO]   [MAP] AFC Champions League Two 24/25: 105 stats, 325 heatmap pts
2026-04-03 22:38:27,130 [INFO]   [MAP] Club Friendly Games 2025: 0 stats, 76 heatmap pts
2026-04-03 22:38:27,131 [INFO]   [MAP] UEFA Conference League 25/26: 0 stats, 0 heatmap pts
2026-04-03 22:38:27,133 [INFO]   [MAP] Serie A 25/26: 107 stats, 32 heatmap pts
2026-04-03 22:38:27,135 [INFO]   [BACKEND] POST /ingest/sofascore/ocr
2026-04-03 22:38:27,532 [INFO]   [BACKEND] OK: {'status': 'ok', 'player': 'Abdelhamid Sabiri', 'sections_saved': ['profile', 'competitions(5: 5 stats, 4 heatmap)', 'matches(30)', 'career(18)', 'national(1)'], 'sofascore_id': 807400}
2026-04-03 22:38:27,690 [INFO]   [FALLBACK] Salvato: sofascore_fallback/Abdelhamid_Sabiri_807400.json
2026-04-03 22:38:27,691 [INFO] ✓ Abdelhamid Sabiri — competizioni=5 stats=330 heatmap=1048 attributi=0 partite=30 trasferimenti=18
2026-04-03 22:38:32,694 [INFO] [2/630] Abdou Harroui
2026-04-03 22:38:32,695 [INFO] ── Abdou Harroui (Hellas Verona FC) ──
2026-04-03 22:38:32,696 [INFO]   sofascore_id=915812 league=serie_a
2026-04-03 22:38:33,171 [INFO]   [PW] Step 1: acquisizione cookie (homepage)...
2026-04-03 22:38:36,861 [INFO]   [PW] Step 2: profilo + slug player 915812...
2026-04-03 22:38:39,874 [INFO]   [📡] Token intercettato: 24a7a8
2026-04-03 22:38:45,025 [INFO]   [PW] Profilo OK (22 campi) | slug=abdou-harroui
2026-04-03 22:38:45,526 [INFO]   [PW] Step 3: navigazione profilo: https://www.sofascore.com/player/abdou-harroui/915812
2026-04-03 22:38:49,126 [INFO]   [📡] Attributi intercettati: //www.sofascore.com/api/v1/player/915812/attribute-overviews
2026-04-03 22:38:49,145 [INFO]   [PW] ✅ Attributi intercettati in anticipo — proseguo
2026-04-03 22:38:49,146 [INFO]   [PW] Step 4: navigazione Statistics (heatmap)...
2026-04-03 22:38:49,254 [INFO]   [📡] Attributi intercettati: //www.sofascore.com/api/v1/player/915812/attribute-overviews
2026-04-03 22:39:07,708 [INFO]   [PW] ⏱ Timeout heatmap passiva — userò JS fetch per competizione
2026-04-03 22:39:07,709 [INFO]   [PW] Step 5: token=✅ 24a7a8
2026-04-03 22:39:07,709 [INFO]   [PW] ✅ attribute-overviews da captured
2026-04-03 22:39:07,710 [INFO]   [PW] ✅ Attributi: 8 valori
2026-04-03 22:39:07,711 [INFO]   [PW-JS] Forcing fetch: transfer-history
2026-04-03 22:39:07,883 [INFO]   [PW-JS] OK: transfer-history
2026-04-03 22:39:08,435 [INFO]   [PW] ✅ national-team-statistics da captured
2026-04-03 22:39:08,436 [INFO]   [PW] Partite: 30
2026-04-03 22:39:08,443 [INFO]   [PW] Nazionale: 0
2026-04-03 22:39:08,444 [INFO]   [PW] Trasferimenti: 7
2026-04-03 22:39:08,445 [INFO]   [PW] Trasferimenti: 7
2026-04-03 22:39:08,447 [INFO]   Competizioni trovate nelle partite: 3
2026-04-03 22:39:08,447 [INFO]     → Serie A 24/25 (tid=23, sid=63515)
2026-04-03 22:39:08,448 [INFO]     → Coppa Italia 25/26 (tid=328, sid=77308)
2026-04-03 22:39:08,449 [INFO]     → Serie A 25/26 (tid=23, sid=76457)
2026-04-03 22:39:08,450 [INFO]   [PW] Step 7: 3 competizioni...
2026-04-03 22:39:09,452 [INFO]   [PW] → Serie A 24/25 (tid=23, sid=63515)
2026-04-03 22:39:09,686 [INFO]       ✅ Stats: 111 campi
2026-04-03 22:39:09,687 [INFO]       Navigazione heatmap: tid=23 sid=63515
2026-04-03 22:39:17,631 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:39:17,632 [INFO]       Heatmap JS fetch: /unique-tournament/23/season/63515/heatmap/overall
2026-04-03 22:39:17,963 [INFO]       ✅ Heatmap JS: 344 punti
2026-04-03 22:39:17,964 [INFO]       ✅ Heatmap finale: 344 punti
2026-04-03 22:39:18,416 [INFO]   [PW] → Coppa Italia 25/26 (tid=328, sid=77308)
2026-04-03 22:39:18,616 [WARNING]   [PW-JS] HTTP 404: 2/unique-tournament/328/season/77308/statistics/overall
2026-04-03 22:39:18,616 [INFO]       Navigazione heatmap: tid=328 sid=77308
2026-04-03 22:39:26,525 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:39:26,526 [INFO]       Heatmap JS fetch: unique-tournament/328/season/77308/heatmap/overall
2026-04-03 22:39:26,641 [WARNING]   [PW-JS] HTTP 404: 5812/unique-tournament/328/season/77308/heatmap/overall
2026-04-03 22:39:26,642 [WARNING]       🚫 Heatmap fetch fallita (tid=328 sid=77308)
2026-04-03 22:39:26,642 [WARNING]       🚫 Heatmap non disponibile (tid=328 sid=77308)
2026-04-03 22:39:27,293 [INFO]   [PW] → Serie A 25/26 (tid=23, sid=76457)
2026-04-03 22:39:27,401 [INFO]       ✅ Stats: 112 campi
2026-04-03 22:39:27,402 [INFO]       Navigazione heatmap: tid=23 sid=76457
2026-04-03 22:39:35,094 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:39:35,095 [INFO]       Heatmap JS fetch: /unique-tournament/23/season/76457/heatmap/overall
2026-04-03 22:39:35,564 [INFO]       ✅ Heatmap JS: 486 punti
2026-04-03 22:39:35,565 [INFO]       ✅ Heatmap finale: 486 punti
2026-04-03 22:39:36,334 [INFO]   [PW] Fine: competizioni=3 stats=223 heatmap=830 attributi=8 partite=30 trasferimenti=7
2026-04-03 22:39:36,334 [INFO]   [MAP] Serie A 24/25: 107 stats, 344 heatmap pts
2026-04-03 22:39:36,335 [INFO]   [MAP] Coppa Italia 25/26: 0 stats, 0 heatmap pts
2026-04-03 22:39:36,335 [INFO]   [MAP] Serie A 25/26: 107 stats, 486 heatmap pts
2026-04-03 22:39:36,337 [INFO]   [BACKEND] POST /ingest/sofascore/ocr
